original,clean
SOUTH KOREA,SOUTH KOREA
TAIWAN,TAIWAN
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO
FINLAND,FINLAND
RAS AL KHAIMAH FREE TRADE ZONE,RAS AL KHAIMAH FREE TRADE ZONE
FALKLAND ISLANDS,FALKLAND ISLANDS
FUJAIRAH MEDIA FREE ZONE,FUJAIRAH MEDIA FREE ZONE
"NOVA SCOTIA, CANADA","NOVA SCOTIA, CANADA"
"WASHINGTON, U.S.A.","WASHINGTON, U.S.A."
SHARJAH,SHARJAH
"MAINE, U.S.A.","MAINE, U.S.A."
ABU DHABI,ABU DHABI
JAMAICA,JAMAICA
"ARIZONA, U.S.A.","ARIZONA, U.S.A."
BRAZIL,BRAZIL
ESTONIA,ESTONIA
SAMAO,SAMOA
"SOUTH CAROLINA, U.S.A.","SOUTH CAROLINA, U.S.A."
"NEW BRUNSWICK, CANADA","NEW BRUNSWICK, CANADA"
DOMINICA,DOMINICA
THE VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS
"ALBERTA, CANADA","ALBERTA, CANADA"
"OKLAHOMA, U.S.A.","OKLAHOMA, U.S.A."
CHILE,CHILE
ZIMBABWE,ZIMBABWE
PART VII OF THE CHARITIES ACT 1993,
INDONESIA,INDONESIA
COTE D'IVOIRE,COTE D'IVOIRE
IRAN,IRAN
"WISCONSIN, U.S.A.","WISCONSIN, U.S.A."
THE ISLAND OF NIUE,THE ISLAND OF NIUE
SLOVENIA,SLOVENIA
"COLORADO, U.S.A.","COLORADO, U.S.A."
THE EUROPEAN UNION,THE EUROPEAN UNION
MOROCCO,MOROCCO
ALGERIA,ALGERIA
FUJAIRAH,FUJAIRAH
POLAND,POLAND
"HAWAII, U.S.A.","HAWAII, U.S.A."
RUSSIA,RUSSIA
"UTAH, U.S.A.","UTAH, U.S.A."
PAKISTAN,PAKISTAN
LATVIA,LATVIA
MEXICO,MEXICO
VANUATU,VANUATU
"MINNESOTA, U.S.A.","MINNESOTA, U.S.A."
TANZANIA,TANZANIA
REIDEN,REIDEN
FAROE ISLANDS,FAROE ISLANDS
CHONBURI,CHONBURI
EGYPT,EGYPT
REPUBLIC OF KOREA,SOUTH KOREA
"KANSAS, U.S.A.","KANSAS, U.S.A."
"NEW JERSEY, U.S.A.","NEW JERSEY, U.S.A."
"TENNESSEE, U.S.A.","TENNESSEE, U.S.A."
"MARYLAND, U.S.A.","MARYLAND, U.S.A."
RUPUBLIC OF IRELAND,RUPUBLIC OF IRELAND
BREDA,BREDA
"IOWA, U.S.A.","IOWA, U.S.A."
BOTSWANA,BOTSWANA
NUIE,NIUE
"VIRGINIA, U.S.A.","VIRGINIA, U.S.A."
GAMBIA,GAMBIA
THE GAMBIA,GAMBIA
ANDORRA,ANDORRA
TURKISH REPUBLIC OF NORTH,TURKISH REPUBLIC OF NORTH
"OREGON, U.S.A.","OREGON, U.S.A."
"RHODE ISLAND, U.S.A.","RHODE ISLAND, U.S.A."
ETHIOPIA,ETHIOPIA
"LOUISIANA, U.S.A.","LOUISIANA, U.S.A."
VIETNAM,VIETNAM
TOGO,TOGO
FC029833,
CITY OF PANANMA,PANAMA
1811435,
GEORGIA,GEORGIA
KAZAKHSTAN,KAZAKHSTAN
AFGHANISTAN,AFGHANISTAN
SERBIA,SERBIA
THE EUROPEAN UNION UNDER THE TREATY ON EUROPEAN UNION AND THE TREATY ON THE FUNCTIONING OF THE EUROPEAN UNION,THE EUROPEAN UNION
FEDERATION OF MALAYA,FEDERATION OF MALAYA
LIBYA,LIBYA
LITHUANIA,LITHUANIA
AJMAN,AJMAN
SLOVAKIA,SLOVAKIA
IRAQ,IRAQ
"ALASKA, U.S.A.","ALASKA, U.S.A."
MACAO,MACAU
THE REPUBLIC OF KOREA,SOUTH KOREA
UNITED REPUBLIC OF TANZANIA,UNITED REPUBLIC OF TANZANIA
URUGUAY,URUGUAY
PENANG,PENANG
ROVEREDO GR,ROVEREDO GR
ALBANIA,ALBANIA
THE BRITISH ISLANDS,BRITISH VIRGIN ISLANDS
HAMBURG,HAMBURG
WEST-BRABANT,WEST-BRABANT
THE REPUBLIC OF LIBE RIA,LIBERIA
SWAZILAND,SWAZILAND
NORTH KOREA,NORTH KOREA
TENERIFE,SPAIN
SIERRA LEONE,SIERRA LEONE
MONGOLIA,MONGOLIA
